rowid,id,code,name,address,contact,phone
1,1,11000001,北京中之光会计师事务所有限责任公司,北京市海淀区北四环西路67号中关村创业大厦904室,耿云明,13910222743
2,2,11000002,北京天同信会计师事务所有限公司,北京市海淀区北三环西路甲18号中鼎大厦A座602室,王大顺,13901173707
3,3,11000003,北京中仁信会计师事务所,北京市海淀区苏州街49号一层,宁志磊,010-62547563
4,4,11000004,北京嘉信达盛会计师事务所有限公司,北京市昌平区昌平镇超前路9号科技园区昌平园五层,巫琦,010-69743541
5,5,11000005,北京正和信会计师事务所有限责任公司,北京市朝阳区高碑店乡半壁店村惠河南街1089号1层D1204,朱颖,13693052019
6,6,11000006,北京振兴联合会计师事务所,北京经济技术开发区宏达北路10号万源商务中心5层513室,岑赫,010-67871778
7,7,11000007,北京诚得信会计师事务所（普通合伙）,北京市昌平区科技园区昌盛路12号院9号楼一层102室,庞风征,13810237795
8,8,11000008,北京安华信会计师事务所有限责任公司,北京市海淀区紫竹院路81号北方地产大厦908,尹燕伟,010-68041818
9,9,11000010,北京兴华会计师事务所（特殊普通合伙）,北京市西城区裕民路18号北环中心22层,倪祖楠,010-82250666
10,10,11000012,北京中伦信会计师事务所有限责任公司,北京市朝阳区秀水街1号7号楼2单元12层121室,李莹,010-65612161
11,11,11000013,雷博律华（北京）会计师事务所,北京市朝阳区东直门外大街２３号东外外交办公大楼５０２室,李晓军,010-85321720
12,12,11000016,北京明光会计师事务所有限责任公司,北京市西直门北大街45号4号楼1205,蒋海鸣,010-51653312
13,13,11000018,北京驰创会计师事务所有限责任公司,北京市朝阳区潘家园南里12号潘家园大厦1239室,张庆荣,010-64221153
14,14,11000019,北京中达安永会计师事务所有限责任公司,北京市西城区广义街4号8幢2层226室,许玉琴,010-83192773
15,15,11000020,北京华威会计师事务所有限责任公司,北京市西城区三庙街一号楼一层,杨立田,010-83154095
16,16,11000021,北京建宏信会计师事务所有限责任公司,北京市丰台区右安门外大街2号迦南大厦20C,唐玉聪,010-63586536
17,17,11000023,北京中育才会计师事务所有限公司,北京市西城区核桃园西街36号23幢606,李平华,010-63036326
18,18,11000029,北京方诚会计师事务所有限责任公司,北京市东城区崇文门外大街3号南办1308,赵月芳,010-67165299
19,19,11000031,北京英特纳尔仲德会计师事务所有限公司,北京市海淀区苏州街18号院-1楼-3层1303,杨永进,010-68710861
20,20,11000032,北京坤泰融和会计师事务所有限公司,北京市海淀区知春路6号锦秋国际大厦A706,王浩,13681542358
21,21,11000033,北京神州会计师事务所有限责任公司,北京市海淀区三里河路39号,李春莉,010-68349193
22,22,11000034,北京市华颂会计师事务所有限公司,北京市东城区和平里南街龙绍衡大厦6层,孙洪起,010-84210760
23,23,11000037,泽瑞(北京)会计师事务所有限责任公司,北京市朝阳区华严北里40号楼6层602号,周子琳,010-88393672
24,24,11000038,北京华义信会计师事务所有限责任公司,北京市西城区广莲路1号建工大厦A座1218室,刘婕,010-63927361
25,25,11000041,北京中京华建联会计师事务所有限公司,北京市海淀区大钟寺13号院1号楼13层B13室,王小静,66411148-8025
26,26,11000047,北京嘉仁和会计师事务所有限责任公司,北京市平谷区林荫南街四号,朱晓芸,010-69983575
27,27,11000049,北京希文会计师事务所有限责任公司,北京市丰台区宋庄路1号嘉业大厦A座801室,王淑兰,010-67640177
28,28,11000051,北京中守会计师事务所有限责任公司,北京市海淀区交通大学路1号院交大嘉园3号楼312室,苏向乾,010-82161658-
29,29,11000052,北京敬业瑞之会计师事务所有限责任公司,北京市朝阳区大郊亭中街2号华腾国际2号楼6B,张晋,13716800319
30,30,11000053,北京中润会计师事务所有限责任公司,北京西城区广外大街甲180号新纪元公寓1405,张红金,010-63484960-
31,31,11000056,北京今创会计师事务所,北京市西城区西直门南大街2号成铭大厦C座701室,潘丽娜,010-66183091-240
32,32,11000058,北京信与诚会计师事务所有限责任公司,北京市丰台区南方庄1号安富大厦911号,黄少成,010-67625240-00
33,33,11000059,北京华通鉴会计师事务所有限责任公司,北京市朝阳区霞光里5号综合楼2层218,孙成瑞,010-84279099
34,34,11000061,北京慕维森会计师事务所有限责任公司,北京市通州区天桥湾小区16号楼2单元221室,汤炳亮,0106-69537108
35,35,11000062,北京京懋会计师事务所有限公司,北京市朝阳区八里庄西里98号住邦2000商务中心3号楼1808室,王文琴,010-85869758
36,36,11000063,北京京华会计师事务所有限责任公司,北京市朝阳区大郊亭中街2号院华腾国际写字楼3号楼17A、D,王瑞,010-67736491
37,37,11000064,北京正义会计师事务所有限责任公司,北京市西城区北三环中路甲29号华尊大厦A座1703-1705室,金敏,010-82250662
38,38,11000065,北京京诚会计师事务所有限责任公司,北京市西城区德外大街乙10号泰富大厦9层,潘布尔,010-62252264
39,39,11000066,北京民青会计师事务所有限责任公司,北京市海淀区苏州街75号鼎钧大厦B座112室,李金环,010-62565094
40,40,11000074,北京凌峰会计师事务所有限公司,北京市西城区百万庄南街1号419室,邓超慧,010-6899-3875
41,41,11000075,北京安佳信会计师事务所有限公司,北京市丰台区右安门外大街2号楼7层A段709,赵茜,010-63563746
42,42,11000076,北京三乾会计师事务所有限公司,北京市海淀区长春桥路5号新起点嘉园B座702室,惠晓卫,010-82563812
43,43,11000078,北京数码会计师事务所有限公司,北京市海淀区人大北路33号2号楼1408室,程亦智,010-82684030
44,44,11000083,北京中润达会计师事务所有限公司,北京市东城区珠市口东大街4号西侧6层,周军,010-67024059
45,45,11000084,北京天平会计师事务所有限责任公司,北京市海淀区北三环中路31号泰思特大厦3号楼2层,宫肃康,010-68910948
46,46,11000085,北京龙洲会计师事务所有限责任公司,北京市西城区前半壁街64、66号3号楼218室,陈伟,010-66503366
47,47,11000086,北京中平建华浩会计师事务所有限公司,北京市朝阳区和平街东土城路12号怡和阳光大厦C座10层,董聪丽,010-84214280
48,48,11000087,北京德慧会计师事务所有限责任公司,北京市房山区良乡工业开发区金光路7号,李铁,010-89358224-
49,49,11000088,北京鑫正泰会计师事务所有限责任公司,北京市东城区东直门外小街甲2号正东国际大厦B座308,方宇,010-84476275
50,50,11000089,北京中则会计师事务所有限责任公司,北京市北京经济技术开发区景园北街2号62幢1单元7层806室,李秀莲,62534991
51,51,11000090,北京达兴会计师事务所有限责任公司,北京市大兴区黄村镇清澄名苑北区27号楼3单元1705室,刘红旗,010-69242610
52,52,11000092,北京中宣育会计师事务所有限责任公司,北京市西城区广安门内大街167号翔达大厦写字楼12层,杨卉,010-83558095-856
53,53,11000094,北京华庆兴会计师事务所有限责任公司,北京市昌平区天通西苑三区22号楼2门102,孙晗,010-64040553
54,54,11000096,北京科勤会计师事务所有限责任公司,北京市海淀区西三环北路72号世纪经贸大厦B座1508,张惠,010-51799500
55,55,11000097,北京汉根会计师事务所有限公司,北京市朝阳区朝阳北路199号摩码大厦515室,项明慧,13621277127
56,56,11000099,北京华京会计师事务所有限责任公司,北京市朝阳区中纺里34号院兴华公寓写字楼502室,吴丙智,0106-65026020-21
57,57,11000100,北京昕兴云会计师事务所有限责任公司,北京市密云区康居南区综合楼甲15号三层,郑天文,69042823
58,58,11000101,北京合义会计师事务所有限责任公司,北京市朝阳区小关北里45号世纪嘉园3号楼23E,马德玲,010-84896259
59,59,11000102,北京永拓会计师事务所（特殊普通合伙）,北京市朝阳区关东店北街1号2幢13层,王荻,010-65950411
60,60,11000104,北京伯仲行会计师事务所有限公司,北京市海淀区长春桥路11号C2座901,冒剑泓,010-82690082
61,61,11000105,北京京隆会计师事务所有限责任公司,北京市延庆区延庆镇东外大街40号,闫志明,010-69104768
62,62,11000106,北京爱思济会计师事务所有限责任公司,北京市石景山区石景山路23号中础大厦206室,黄明启,010-68872158
63,63,11000107,北京全企国际会计师事务所有限公司,北京市朝阳区朝外吉庆里9号蓝筹名座E座1区501,刘建伟,010-65516968
64,64,11000110,北京源隆会计师事务所有限责任公司,北京市海淀区西三环北路87号国际财经中心A505,石常平,010-82552095/2195
65,65,11000111,北京先锋实杰会计师事务所有限责任公司,北京市朝阳区清河营东路2号院乐想汇2号楼612室,孙昊,18600547286
66,66,11000112,北京中兆信会计师事务所有限公司,北京市朝阳区朝外大街26号朝外MEN写字楼B座1701室,李建彤,010-65889611、65888991
67,67,11000114,北京泳泓胜会计师事务所有限责任公司,北京市房山区燕山迎风街9号,高立田,010-6934-1986
68,68,11000115,北京中立德会计师事务所有限责任公司,北京市西城区新街口外大街8号金丰和写字楼B座一层,田诚,010-62021973
69,69,11000116,北京昊海东方会计师事务所有限责任公司,北京市海淀区海淀西大街36号图书城昊海楼419室,喉润菲,010-62534393
70,70,11000118,北京高商万达会计师事务所有限公司,北京市丰台区丰台北路79号冠京写字楼A座501室,张淑琴,010-63891976
71,71,11000119,北京通正会计师事务所有限责任公司,北京市通州区中仓路3号1幢,王永生,010-69548921
72,72,11000121,北京金诚立信会计师事务所有限责任公司,北京市顺义区顺通路2号AMB大厦B座七层,董丽清,010-89441878
73,73,11000125,北京安立德会计师事务所有限责任公司,北京市西城区白纸坊东街31号,田嘉怡,010-63570187
74,74,11000126,北京精与诚会计师事务所有限责任公司,北京市房山区良乡苏庄共创大厦719,常卫敏,69375943
75,75,11000127,北京北卫会计师事务所有限责任公司,北京市西城区车公庄大街甲4号物华大厦大厦A1206-1207室,罗笑东,010-68003753-
76,76,11000131,北京华泰会计师事务所有限公司,北京市宣武区南滨河路23号立恒名苑1号楼1302,闫晓真,010-63368517-607
77,77,11000134,北京明则诚会计师事务所有限公司,北京市海淀区半壁街南路8号院1号楼汇景阁1206室,张子涛,010-68466990
78,78,11000136,北京弘诚信会计师事务所有限责任公司,北京市朝阳区百子湾路16号百子园4号楼9层A单元906号,杨庆英,010-87766578
79,79,11000139,北京昆仑华勤会计师事务所有限责任公司,北京市朝阳区五里桥二街2号院,赵冬丽,13552767271
80,80,11000140,北京曲信会计师事务所有限责任公司,北京市西城区西直门外大街18号金贸大厦C2座802室,张薇,010-88332760-608
81,81,11000141,北京华安东会计师事务所有限责任公司,北京市西城区黄寺大街23号3-4-403,曾延风,010-84098036-
82,82,11000142,北京华龙鼎嘉会计师事务所有限公司,北京市朝阳区朝阳北路225号京龙大厦10层,李梅,010-65097185
83,83,11000143,北京中信佳会计师事务所有限公司,北京市东城区金宝街67号隆基大厦南楼402B室,蔡超,010-65597531
84,84,11000145,北京京佳信会计师事务所有限公司,北京市门头沟区新桥大街71号二层,李文啟,010-69859257
85,85,11000148,北京中燕通会计师事务所有限公司,北京市丰台区南四环西路128号院诺德中心2号楼501室,苏乐,010-63809576
86,86,11000150,北京纵横联合会计师事务所（普通合伙）,北京市西城区广义街5号3层-309,李莹,010-63439951
87,87,11000154,利安达会计师事务所（特殊普通合伙）,北京市朝阳区慈云寺北里210号楼1101室,黄锦辉,010-85886680
88,88,11000162,中勤万信会计师事务所（特殊普通合伙）,北京市西城区西直门外大街110号中糖大厦11层,刘静,010-68360123
89,89,11000163,中审国际会计师事务所有限公司,北京市海淀区阜成路73号裕惠大厦C座8层,周会,010-88504363
90,90,11000167,中兴华会计师事务所（特殊普通合伙）,北京市西城区阜外大街1号四川大厦东座15层,李尊农,010-68364873-198
91,91,11000168,中喜会计师事务所（特殊普通合伙）,北京市东城区崇文门外大街11号新成文化大厦A座11层1101室,张增刚,010-67085873
92,92,11000169,中磊会计师事务所有限责任公司,北京市西城区阜外大街1号四川大厦东座1815,关键,010-69344522-102
93,93,11000170,中准会计师事务所（特殊普通合伙）,北京市海淀区首体南路22号国兴大厦4层,田雍,010-88356126
94,94,11000171,华实会计师事务所,北京市西城区右安门内大街65号326室,吕婷,010-63010160
95,95,11000172,北京华辰会计师事务所,北京市西城区三里河南横街4号院2号楼2-402,沈言,010-68563040
96,96,11000173,北京华安德会计师事务所,北京市朝阳区新源里16号琨莎中心1座508室,刘芳,010-84682966
97,97,11000177,北京中科华会计师事务所有限公司,北京市海淀区苏州街49号一层,朴云,010-62536723
98,98,11000179,北京兴业会计师事务所有限公司,北京市东城区朝阳门南小街北京inn8#A305,范云亮,13601397529
99,99,11000182,华建会计师事务所有限责任公司,北京市海淀区西直门北大街甲43号金运大厦B座16层南区,肖肖,010-68360384
100,100,11000184,中经会计师事务所有限责任公司,北京市朝阳区武圣西里28号院一号楼406室,孙宏,010-87362530-2532
101,101,11000186,长城会计师事务所有限责任公司,北京海淀区中关村大街18号1612,刘宁,010-66019676
102,102,11000187,北京兴中海会计师事务所有限公司,北京市东城区建国门内28号D座8层05单元,姚震,010-51260333
103,103,11000188,中建华会计师事务所有限责任公司,北京市海淀区广源闸五号广源大厦三层,杨玲,010-51608233
104,104,11000190,北京中光华会计师事务所有限责任公司,北京市西城区南滨河路27号7号楼4层409,陈阳,010-63366001
105,105,11000191,中一会计师事务所有限责任公司,北京市丰台区莲花池东路116-2号北京西站东辅楼六层,徐尤林、杨军,010-51824150、13522784860，010-51824690、13621169836
106,106,11000192,中诚信会计师事务所有限责任公司,北京市海淀区中关村南大街甲10号银海大厦三层南301,张文波,010-62249648
107,107,11000193,同新会计师事务所有限公司,北京市西城区广安门外大街248号机械大厦413室,项菲,010-63311902
108,108,11000195,中新会计师事务所有限公司,北京市西城区宣武门外大街28号富卓大厦A-306,裴启亮,010-88380362
109,109,11000196,奥迪特会计师事务所有限责任公司,北京市朝阳区安贞西里5区仟村商务大楼A座503室,邓江红,010-64426836
110,110,11000197,中实会计师事务所有限责任公司,北京市朝阳区西大望路甲2号航空大厦1407室,赫靓,010-84195027
111,111,11000198,中天银会计师事务所有限责任公司,北京市海淀区学院南路68号吉安大厦A座601室,崔喜军/宋伟,010-88583020
112,112,11000199,中龙会计师事务所有限责任公司,北京朝阳区麦子店街20号楼,于晓林,010-59194417-
113,113,11000201,华闻会计师事务所有限责任公司,北京市西城区西直门外南路5号华审宾馆,于红岩,010-88374496
114,114,11000203,中嘉友谊会计师事务所有限责任公司,北京市西城区广内大街319号广信嘉园C座12层C室,刘颖平,010-83131091
115,115,11000204,中天运会计师事务所（特殊普通合伙）,北京市西城区车公庄大街9号五栋大楼B1座七层,万杨柯,010-88395676-2118
116,116,11000205,北京中旭华会计师事务所有限公司,北京市西城区地安门西大街丙28号B302,张凤杰,010-66552537
117,117,11000206,中维会计师事务所有限责任公司,北京市朝阳区麦子店街20号楼,易维佳,010-59194407-
118,118,11000207,华青会计师事务所有限公司,北京市朝阳区小营路17号2-232,郭茹,010-68585809
119,119,11000208,中辰兴会计师事务所有限责任公司,北京市朝阳区小营路9号亚运豪庭B座9B,廉小爱,010-64972913
120,120,11000209,海川会计师事务所有限公司,北京市海淀区皂君庙14号院1号楼8层813室,曹桂媛,010-82618346
121,121,11000212,中通会计师事务所有限责任公司,北京市西城区西长安街丙17号2513A,郭凤君,010-66036883
122,122,11000213,京洲会计师事务所有限责任公司,北京市西城区月坛北街5号,吉大千,010-68039109
123,123,11000214,中睿会计师事务所有限公司,北京市海淀区北三环西路48号北京科技会展中心1号楼A座16D,包英,010-62162618
124,124,11000215,中鉴会计师事务所有限责任公司,北京市海淀区北蜂窝2号中盛大厦2102室,李远远,010-63476422 13901281642
125,125,11000216,北京中盛会计师事务所有限公司,北京市朝阳区广渠路66号百环家园西区4号楼1707,高娟,010-50944705
126,126,11000217,中财会计师事务所有限公司,北京市朝阳区八里庄西里61号楼910号,姜珊,010-85723361
127,127,11000218,中威会计师事务所有限责任公司,北京市东城区金鱼池中区18楼5门602室,齐天娇,15604022586
128,128,11000220,北京中天恒会计师事务所有限责任公司,北京市海淀区中关村南大街17号韦伯时代中心C座2306室,高雅青,010-88579518
129,129,11000221,广实会计师事务所有限公司,北京市朝阳区朝外北街蓝筹名座A座一区401室,严威,010-65531769
130,130,11000223,北京中交会计师事务所有限公司,北京市东城区安定门东滨河路雍和园A座6号楼408室,包思敏,010-51026069
131,131,11000225,北京中誉会计师事务所有限责任公司,北京市西城区车公庄大街甲4号物华大厦A908室,俞智强,010-68001951-
132,132,11000228,中鹏会计师事务所有限公司,北京市丰台区万丰路316号万开中心A座313室,张红雪,010-64609083
133,133,11000229,中大会计师事务所有限公司,北京市海淀区曙光花园中路11号北京农科大厦B座6层606号,王延,010-51502588/2619/2618
134,134,11000230,中业会计师事务所有限责任公司,北京市朝阳区北苑路168号中安盛业大厦2306,刘晓煦,13810212858
135,135,11000232,中逸会计师事务所有限公司,北京市西城区太平桥大街丰汇园11号楼丰汇时代大厦A座606室,谷春林,010-58362096
136,136,11000233,三益会计师事务所有限责任公司,北京市海淀区西苑操场甲一号,王晓华,010-69123401
137,137,11000234,东方会计师事务所有限责任公司,北京市东城区广渠门外大街121号搜宝崇文208室,姚红波,010-85229518
138,138,11000237,海峡会计师事务所有限责任公司,北京市朝阳区惠新西街18号罗马花园D座1302室,白韶华,010-64893880
139,139,11000238,中蓝特会计师事务所有限责任公司,北京市西城区宣武门西大街甲129号,杨敏兰,010-66411927-
140,140,11000241,毕马威华振会计师事务所（特殊普通合伙）,北京市东城区东长安街1号东方广场东二座办公楼8层,尹黎明,010-85085049
141,141,11000243,安永华明会计师事务所（特殊普通合伙）,北京市东城区东长安街1号东方广场安永大楼17层01-12室,颜征,010-58153142
142,142,11000244,北京中昊信泰会计师事务所,北京市朝阳区朝阳北路摩玛大厦202室,张文波,010-85968108
143,143,11000247,北京天创联合会计师事务所,北京市海淀区交大东路60号大隐名座4号楼601室,邹晓彦,010-62262490-
144,144,11000248,北京欣永会计师事务所有限公司,北京市西城区百万庄大街9号院2号楼2单元705室,王学展,010-88386966
145,145,11000249,北京中路华会计师事务所有限责任公司,北京市西城区月坛南街甲12号5层,张倩,010-51870296
146,146,11000250,北京吉庆会计师事务所有限责任公司,北京市朝阳区香河园光熙门北里12楼1004号,刘鋉,0860-10646207-02
147,147,11000252,北京天正华会计师事务所（普通合伙）,北京市朝阳区东大桥路8号尚都国际中心909室,娄宝忠,010-58700585
148,148,11000253,北京中博华会计师事务所,北京市宣武区广安门外大街248号机械大厦421室,汤沁洲,010-63481616
149,149,11000255,北京天辰佳翔会计师事务所有限公司,北京市西城区翠华街1号院（官园公寓）2号楼2门102室,王晓燕,010-66129074
150,150,11000256,北京博坤会计师事务所（普通合伙）,北京市朝阳区朝阳公园西里南区15号E3-7-1012,田晓青,13552587392
151,151,11000259,北京普洋会计师事务所,北京市石景山区阜石路166号泽洋大厦929室,于冲 彭志苔,13501253684 13264391709
