fs_show,fs_subject,direction
流动资产：,,
 货币资金,货币资金,借
 结算备付金,结算备付金,借
 拆出资金,拆出资金,借
以公允价值计量且其变动计入当期损益的金融资产,以公允价值计量且其变动计入当期损益的金融资产,借
衍生金融资产,衍生金融资产,借
 应收票据,应收票据,借
应收账款,应收账款,借
 预付款项,预付款项,借
 应收保费,应收保费,借
 应收分保账款,应收分保账款,借
 应收分保合同准备金,应收分保合同准备金,借
 其他应收款,其他应收款,借
 其中：应收利息,应收利息,借
           应收股利,应收股利,借
 买入返售金融资产,买入返售金融资产,借
 存货,存货,借
持有待售资产,持有待售资产,借
 一年内到期的非流动资产,一年内到期的非流动资产,借
 其他流动资产,其他流动资产,借
   流动资产合计,,
非流动资产：,,
 发放贷款和垫款,发放贷款和垫款,借
可供出售金融资产,可供出售金融资产,借
持有至到期投资,持有至到期投资,借
 长期应收款,长期应收款,借
 长期股权投资,长期股权投资,借
 投资性房地产,投资性房地产,借
 固定资产,固定资产,借
 在建工程,在建工程,借
 生产性生物资产,生产性生物资产,借
 油气资产,油气资产,借
 无形资产,无形资产,借
 开发支出,开发支出,借
 商誉,商誉,借
 长期待摊费用,长期待摊费用,借
 递延所得税资产,递延所得税资产,借
 其他非流动资产,其他非流动资产,借
非流动资产合计,,
 资产总计,,
流动负债：,,
  短期借款,短期借款,贷
 向中央银行借款,向中央银行借款,贷
 拆入资金,拆入资金,贷
 以公允价值计量且其变动计入当期损益的金融负债,以公允价值计量且其变动计入当期损益的金融负债,贷
  衍生金融负债,衍生金融负债,贷
  应付票据,应付票据,贷
 应付账款,应付账款,贷
  预收款项,预收款项,贷
  卖出回购金融资产款,卖出回购金融资产款,贷
 吸收存款及同业存放,吸收存款及同业存放,贷
  代理买卖证券款,代理买卖证券款,贷
  代理承销证券款,代理承销证券款,贷
  应付职工薪酬,应付职工薪酬,贷
  应交税费,应交税费,贷
  其他应付款,其他应付款,贷
  其中：应付利息,应付利息,贷
            应付股利,应付股利,贷
  应付手续费及佣金,应付手续费及佣金,贷
  应付分保账款,应付分保账款,贷
  持有待售负债,持有待售负债,贷
  一年内到期的非流动负债,一年内到期的非流动负债,贷
  其他流动负债,其他流动负债,贷
   流动负债合计,,
非流动负债：,,
  保险合同准备金,保险合同准备金,贷
  长期借款,长期借款,贷
  应付债券,应付债券,贷
  其中：优先股,,
      永续债,,
  长期应付款,长期应付款,贷
  长期应付职工薪酬,长期应付职工薪酬,贷
  预计负债,预计负债,贷
  递延收益,递延收益,贷
  递延所得税负债,递延所得税负债,贷
  其他非流动负债,其他非流动负债,贷
   非流动负债合计,,
     负债合计,,
股东权益：,,
  股本,股本,贷
  其他权益工具,其他权益工具,贷
  其中：优先股,,
            永续债,,
  资本公积,资本公积,贷
  减：库存股,库存股,贷
  其他综合收益,其他综合收益,贷
  专项储备,专项储备,贷
  盈余公积,盈余公积,贷
  一般风险准备,一般风险准备,贷
  未分配利润,未分配利润,贷
  归属于母公司股东权益合计,,
 少数股东权益,少数股东权益,贷
股东权益合计,,
负债和股东权益总计,,
一、营业总收入,,
  其中：营业收入,营业收入,贷
       利息收入,利息收入,贷
       已赚保费,已赚保费,贷
       手续费及佣金收入,手续费及佣金收入,贷
二、营业总成本,,
    其中：营业成本,营业成本,借
             利息支出,利息支出,借
             手续费及佣金支出,手续费及佣金支出,借
             退保金,退保金,借
             赔付支出净额,赔付支出净额,借
             提取保险责任备金净额,提取保险责任备金净额,借
             保单红利支出,保单红利支出,借
             分保费用,分保费用,借
             税金及附加,税金及附加,借
             销售费用,销售费用,借
             管理费用,管理费用,借
             研发费用,研发费用,借
             财务费用,财务费用,借
             其中：利息费用,,
                       利息收入,,
   加：其他收益,其他收益,贷
         投资收益（损失以“－”号填列）,投资收益,贷
         其中：对联营企业和合营企业的投资收益,对联营企业和合营企业的投资收益,贷
         公允价值变动收益（损失以“－”号填列）,公允价值变动收益,贷
         资产减值损失 （损失以“－”号填列）,资产减值损失,借
         资产处置收益（损失以“－”号填列）,资产处置收益,贷
         汇兑收益（损失以“－”号填列）,汇兑收益,贷
三、营业利润（亏损以“－”号填列）,,
    加：营业外收入,营业外收入,贷
    减：营业外支出,营业外支出,借
四、利润总额（亏损总额以“－”号填列）,,
    减：所得税费用,所得税费用,借
一、经营活动产生的现金流量：,,
    销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,
    客户存款和同业存放款项净增加额,客户存款和同业存放款项净增加额,
    向中央银行借款净增加额,向中央银行借款净增加额,
    向其他金融机构拆入资金净增加额,向其他金融机构拆入资金净增加额,
    收到原保险合同保费取得的现金,收到原保险合同保费取得的现金,
    收到再保险业务现金净额,收到再保险业务现金净额,
    保户储金及投资款净增加额,保户储金及投资款净增加额,
    收取利息、手续费及佣金的现金,收取利息、手续费及佣金的现金,
    拆入资金净增加额,拆入资金净增加额,
    回购业务资金净增加额,回购业务资金净增加额,
    代理买卖证券收到的现金净额,代理买卖证券收到的现金净额,
    收到的税费返还,收到的税费返还,
    收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,
经营活动现金流入小计,,
    购买商品、接受劳务支付的现金,购买商品、接受劳务支付的现金,
    客户贷款及垫款净增加额,客户贷款及垫款净增加额,
    存放中央银行和同业款项净增加额,存放中央银行和同业款项净增加额,
    支付原保险合同赔付款项的现金,支付原保险合同赔付款项的现金,
    为交易目的而持有的金融资产净增加额,为交易目的而持有的金融资产净增加额,
    拆出资金净增加额,拆出资金净增加额,
    支付利息、手续费及佣金的现金,支付利息、手续费及佣金的现金,
    支付保单红利的现金,支付保单红利的现金,
    支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,
    支付的各项税费,支付的各项税费,
    支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,
经营活动现金流出小计,,
经营活动产生的现金流量净额,,
二、投资活动产生的现金流量：,,
    收回投资收到的现金,收回投资收到的现金,
