origin,tb,fs,confidence,direction,first_class,second_class
库存现金,库存现金,货币资金,1,借,资产,流动资产
现金,库存现金,货币资金,1,借,资产,流动资产
银行存款,银行存款,货币资金,1,借,资产,流动资产
其他货币资金,其他货币资金,货币资金,1,借,资产,流动资产
结算备付金,结算备付金,结算备付金,1,借,资产,流动资产
拆出资金,拆出资金,拆出资金,1,借,资产,流动资产
交易性金融资产,交易性金融资产,交易性金融资产,1,借,资产,流动资产
以公允价值计量且其变动计入当期损益的金融资产,以公允价值计量且其变动计入当期损益的金融资产,以公允价值计量且其变动计入当期损益的金融资产,1,借,资产,流动资产
衍生金融资产,衍生金融资产,衍生金融资产,1,借,资产,流动资产
应收票据,应收票据,应收票据,1,借,资产,流动资产
应收账款,应收账款,应收账款,1,借,资产,流动资产
应收帐款,应收账款,应收账款,1,借,资产,流动资产
坏账准备--应收账款,坏账准备--应收账款,应收账款,1,贷,资产,流动资产
应收款项融资,应收款项融资,应收款项融资,1,借,资产,流动资产
预付账款,预付款项,预付款项,1,借,资产,流动资产
待摊费用,待摊费用,预付款项,1,借,资产,流动资产
预付帐款,预付款项,预付款项,1,借,资产,流动资产
预付款项,预付款项,预付款项,1,借,资产,流动资产
应收股利,应收股利,应收股利,1,借,资产,流动资产
应收利息,应收利息,应收利息,1,借,资产,流动资产
应收保费,应收保费,应收保费,1,借,资产,流动资产
应收分保帐款,应收分保账款,应收分保账款,1,借,资产,流动资产
应收分保账款,应收分保账款,应收分保账款,1,借,资产,流动资产
应收分保合同准备金,应收分保合同准备金,应收分保合同准备金,1,借,资产,流动资产
其他应收款,其他应收款,其他应收款,1,借,资产,流动资产
内部存款,内部存款,其他应收款,1,借,资产,流动资产
内部往来,内部往来,其他应收款,1,借,资产,流动资产
应收补贴款,应收补贴款,其他应收款,1,借,资产,流动资产
其它应收款,其他应收款,其他应收款,1,借,资产,流动资产
坏账准备--其他应收款,坏账准备--其他应收款,其他应收款,1,贷,资产,流动资产
买入返售金融资产,买入返售金融资产,买入返售金融资产,1,借,资产,流动资产
存货,存货,存货,1,借,资产,流动资产
物资采购,物资采购,存货,1,借,资产,流动资产
材料采购,材料采购,存货,1,借,资产,流动资产
在途物资,在途物资,存货,1,借,资产,流动资产
原材料,原材料,存货,1,借,资产,流动资产
材料成本差异,材料成本差异,存货,1,借,资产,流动资产
库存商品,库存商品,存货,1,借,资产,流动资产
发出商品,发出商品,存货,1,借,资产,流动资产
自制半成品,自制半成品,存货,1,借,资产,流动资产
产成品,产成品,存货,1,借,资产,流动资产
商品进销差价,商品进销差价,存货,1,借,资产,流动资产
委托加工物资,委托加工物资,存货,1,借,资产,流动资产
周转材料,周转材料,存货,1,借,资产,流动资产
委托代销商品,委托代销商品,存货,1,借,资产,流动资产
受托代销商品,受托代销商品,存货,1,借,资产,流动资产
代销商品款,代销商品款,存货,1,借,资产,流动资产
分期收款发出商品,分期收款发出商品,存货,1,借,资产,流动资产
包装物及低值易耗品,包装物及低值易耗品,存货,1,借,资产,流动资产
包装物,包装物,存货,1,借,资产,流动资产
低值易耗品,低值易耗品,存货,1,借,资产,流动资产
消耗性物物资产,消耗性物物资产,存货,1,借,资产,流动资产
生产成本,生产成本,存货,1,借,资产,流动资产
劳务成本,劳务成本,存货,1,借,资产,流动资产
制造费用,制造费用,存货,1,借,资产,流动资产
开发成本,开发成本,存货,1,借,资产,流动资产
工程施工,工程施工,存货,1,借,资产,流动资产
工程结算,工程结算,存货,1,贷,资产,流动资产
存货跌价准备,存货跌价准备,存货,1,贷,资产,流动资产
合同资产,合同资产,合同资产,1,借,资产,流动资产
合同资产减值准备,合同资产减值准备,合同资产,1,贷,资产,流动资产
持有待售资产,持有待售资产,持有待售资产,1,借,资产,流动资产
一年内到期的非流动资产,一年内到期的非流动资产,一年内到期的非流动资产,1,借,资产,流动资产
待处理财产损溢,待处理财产损溢,其他流动资产,1,借,资产,流动资产
待处理财产损益,待处理财产损溢,其他流动资产,1,借,资产,流动资产
其他流动资产,其他流动资产,其他流动资产,1,借,资产,流动资产
委托贷款,委托贷款,其他流动资产,1,借,资产,非流动资产
发放委托贷款及垫款,发放委托贷款及垫款,发放贷款和垫款,1,借,资产,非流动资产
发放贷款和垫款,发放委托贷款及垫款,发放贷款和垫款,1,借,资产,非流动资产
债权投资,债权投资,债权投资,1,借,资产,非流动资产
债权投资减值准备,债权投资减值准备,债权投资减值准备,1,贷,资产,非流动资产
可供出售金融资产,可供出售金融资产,可供出售金融资产,1,借,资产,非流动资产
可供出售金融资产减值准备,可供出售金融资产减值准备,可供出售金融资产,1,贷,资产,非流动资产
其他债权投资,其他债权投资,其他债权投资,1,借,资产,非流动资产
持有至到期投资,持有至到期投资,持有至到期投资,1,借,资产,非流动资产
持有至到期投资减值准备,持有至到期投资减值准备,持有至到期投资,1,贷,资产,非流动资产
长期应收款,长期应收款,长期应收款,1,借,资产,非流动资产
未确认融资收益,未确认融资收益,长期应收款,1,贷,资产,非流动资产
未实现融资收益,未确认融资收益,长期应收款,1,贷,资产,非流动资产
长期股权投资,长期股权投资,长期股权投资,1,借,资产,非流动资产
长期股权投资减值准备,长期股权投资减值准备,长期股权投资,1,贷,资产,非流动资产
其他权益工具投资,其他权益工具投资,其他权益工具投资,1,借,资产,非流动资产
其他非流动金融资产,其他非流动金融资产,其他非流动金融资产,1,借,资产,非流动资产
投资性房地产,投资性房地产,投资性房地产,1,借,资产,非流动资产
投资性房地产累计折旧,投资性房地产累计折旧,投资性房地产,1,贷,资产,非流动资产
投资性房地产累计摊销,投资性房地产累计折旧,投资性房地产,1,贷,资产,非流动资产
投资性房地产减值准备,投资性房地产减值准备,投资性房地产,1,贷,资产,非流动资产
固定资产,固定资产,固定资产,1,借,资产,非流动资产
累计折旧,累计折旧,固定资产,1,贷,资产,非流动资产
